Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
148,0.148,0.01719,0.01521,0.02347,0.03818,0.06284,0.09738
151,0.151,0.01699,0.01555,0.02372,0.03828,0.063,0.09763
154,0.154,0.01764,0.01601,0.02416,0.03867,0.06303,0.09756
157,0.157,0.01973,0.01605,0.02422,0.03877,0.06319,0.09695
160,0.16,0.02437,0.01592,0.02389,0.03809,0.06207,0.09524
164,0.164,0.04327,0.01599,0.02386,0.03789,0.06115,0.09452
168,0.168,0.02923,0.01641,0.02423,0.03818,0.06162,0.09355
172,0.172,0.05024,0.01628,0.02405,0.03789,0.06115,0.09283
176,0.176,0.05295,0.0166,0.02439,0.03828,0.06117,0.09354
180,0.18,0.029461,0.0171753,0.0251112,0.0392578,0.0627303,0.0959219
184,0.184,0.02927,0.01991,0.0284,0.04355,0.06838,0.10291
188,0.188,0.02927,0.0217,0.03082,0.04707,0.07334,0.10987
192,0.192,0.02535,0.02362,0.03324,0.05039,0.07811,0.11596
196,0.196,0.04067,0.02463,0.03488,0.05254,0.08081,0.11998
200,0.2,0.05291,0.02569,0.03583,0.05391,0.0827,0.12236
205,0.205,0.0371,0.02597,0.03644,0.05449,0.08338,0.12293
210,0.21,0.03297,0.0252,0.03553,0.05332,0.08201,0.12145
215,0.215,0.02564,0.02483,0.03501,0.05254,0.08081,0.11967
220,0.22,0.02813,0.0237,0.03371,0.05098,0.07861,0.11651
225,0.225,0.03249,0.02362,0.03345,0.05039,0.07771,0.11517
230,0.23,0.04831,0.02298,0.03254,0.04902,0.07579,0.11272
235,0.235,0.08673,0.02188,0.03127,0.04746,0.07376,0.10987
240,0.24,0.09544,0.02116,0.03005,0.0459,0.07151,0.10714
245,0.245,0.07573,0.02044,0.02917,0.04473,0.06969,0.1044
251,0.251,0.04618,0.02008,0.02851,0.04355,0.06786,0.10167
257,0.257,0.0388,0.01954,0.02792,0.04238,0.0662,0.09901
263,0.263,0.04354,0.01918,0.02724,0.0416,0.06498,0.09719
269,0.269,0.04142,0.01891,0.02685,0.04102,0.0639,0.09574
275,0.275,0.06011,0.01837,0.02625,0.03984,0.06224,0.09308
281,0.281,0.07733,0.01834,0.02593,0.03945,0.06163,0.09217
288,0.288,0.04267,0.01769,0.02513,0.03838,0.05995,0.08966
295,0.295,0.04263,0.01678,0.02395,0.03672,0.05765,0.08676
302,0.302,0.03132,0.01665,0.02365,0.03613,0.05658,0.08489
309,0.309,0.02928,0.0158,0.02265,0.03486,0.05487,0.08244
316,0.316,0.03234,0.01531,0.02195,0.03379,0.05332,0.07996
323,0.323,0.03737,0.01478,0.0213,0.03291,0.05193,0.07826
331,0.331,0.0248,0.01426,0.02054,0.03174,0.05034,0.07595
339,0.339,0.02982,0.01395,0.0201,0.03105,0.04913,0.07426
347,0.347,0.02871,0.01381,0.01979,0.03047,0.0482,0.07286
355,0.355,0.02449,0.01296,0.01876,0.0291,0.04615,0.06964
363,0.363,0.05042,0.01218,0.0178,0.02783,0.04447,0.06738
372,0.372,0.03897,0.0116,0.01705,0.02676,0.04276,0.06538
381,0.381,0.0264,0.01112,0.01642,0.02588,0.04156,0.06332
390,0.39,0.02137,0.01087,0.01605,0.02529,0.04042,0.0618
399,0.399,0.01936,0.01085,0.01576,0.0248,0.03964,0.06061
409,0.409,0.01505,0.01064,0.01555,0.02432,0.03886,0.05914
419,0.419,0.01291,0.01016,0.01493,0.02344,0.03745,0.05727
429,0.429,0.01915,0.00965,0.01415,0.02246,0.03625,0.05553
440,0.44,0.03563,0.00906,0.01353,0.02148,0.03502,0.05373
451,0.451,0.03013,0.00902,0.0133,0.02119,0.0342,0.05263
462,0.462,0.01942,0.0089,0.01305,0.0207,0.03341,0.05118
474,0.474,0.02036,0.0086,0.01262,0.02002,0.03231,0.04994
486,0.486,0.01523,0.00798,0.01189,0.01909,0.03112,0.04816
498,0.498,0.01689,0.0078,0.01161,0.01865,0.0304,0.04705
511,0.511,0.01497,0.0077,0.0115,0.01826,0.02976,0.04607
524,0.524,0.01345,0.00756,0.01128,0.01792,0.02921,0.04481
537,0.537,0.01037,0.00737,0.01093,0.01748,0.02849,0.0441
551,0.551,0.01131,0.00704,0.01049,0.01685,0.02746,0.0425
565,0.565,0.0114,0.00696,0.01035,0.0165,0.0269,0.04163
580,0.58,0.01732,0.00672,0.00995,0.01592,0.02607,0.04055
595,0.595,0.02054,0.00625,0.00941,0.01523,0.02507,0.03919
611,0.611,0.01351,0.00599,0.00907,0.01475,0.02439,0.03813
627,0.627,0.00912,0.00589,0.00886,0.01436,0.02374,0.03727
644,0.644,0.01033,0.00565,0.00856,0.01392,0.02312,0.03617
661,0.661,0.01349,0.00559,0.00841,0.01362,0.02253,0.03537
679,0.679,0.00949,0.00549,0.00826,0.01338,0.02202,0.0347
697,0.697,0.00926,0.0052,0.00787,0.01279,0.02126,0.03353
