Mass (GeV),Width (GeV),observe (pb),-2sigma (pb),-1sigma (pb),median (pb),+1sigma (pb),+2sigma (pb)
1191,309.66,0.00905,0.00521,0.00784,0.0127,0.02089,0.03293
1500,390,0.00784,0.00458,0.00694,0.01128,0.01883,0.02995
2000,520,0.00849,0.00464,0.00697,0.01143,0.01917,0.03049
2500,650,0.00958,0.00526,0.00781,0.0127,0.0211,0.03354
3000,780,0.01091,0.0062,0.00919,0.0147,0.02407,0.03776
130,36.4,0.02428,0.02263,0.03471,0.05625,0.09168,0.1388
166,46.48,0.02475,0.02677,0.0413,0.06719,0.1095,0.16653
212,59.36,0.02428,0.03155,0.04983,0.08242,0.13564,0.20841
271,75.88,0.04661,0.03222,0.04942,0.08008,0.12923,0.1944
346,96.88,0.03651,0.02386,0.03625,0.05762,0.09161,0.13667
442,123.76,0.0291,0.01989,0.02958,0.04629,0.0723,0.10707
565,158.2,0.01491,0.01534,0.02258,0.03506,0.05476,0.08109
882,246.96,0.00838,0.00773,0.01148,0.01816,0.02902,0.04438
1377,385.56,0.0081,0.0048,0.00727,0.01182,0.01964,0.03122
1500,420,0.00795,0.00468,0.00709,0.01152,0.01924,0.03047
2000,560,0.00862,0.00476,0.00721,0.01172,0.01957,0.03124
2500,700,0.00975,0.0054,0.00808,0.01304,0.02166,0.03417
3000,840,0.01102,0.0064,0.00944,0.01504,0.02451,0.03827
130,39,0.02416,0.02241,0.03457,0.05625,0.09123,0.13924
169,50.7,0.0241,0.02666,0.04137,0.06758,0.11014,0.16825
219,65.7,0.02598,0.03187,0.05004,0.08242,0.13499,0.20636
284,85.2,0.04457,0.02999,0.04575,0.07383,0.11915,0.17923
369,110.7,0.0318,0.02237,0.0338,0.05352,0.08466,0.12614
479,143.7,0.02238,0.0183,0.02721,0.04258,0.06651,0.09848
622,186.6,0.01345,0.01359,0.02,0.03105,0.04851,0.07183
995,298.5,0.00917,0.00665,0.00993,0.01577,0.02545,0.03934
1500,450,0.00805,0.00478,0.00724,0.01177,0.01955,0.03109
2000,600,0.00875,0.00493,0.00742,0.01201,0.01996,0.03174
2500,750,0.00988,0.00557,0.0083,0.01333,0.02204,0.03476
3000,900,0.01114,0.00659,0.00966,0.01533,0.02499,0.03868
